Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-692.429565,83.400719,-364.537048,-628.633972,34.038342,-765.545593,-555.716736,97.640045,49.540417,-530.985352,40.715923,369.906067,-444.957001,71.866646,223.907547,-394.61615,108.635162,-550.09906,-392.006958,125.901611,46.782719,-370.938568,136.668182,-159.342499,-185.897263,68.178658,-785.776123,-141.193359,133.277496,-521.144043,-155.087448,157.347305,-17.763271,-69.225548,114.091621,177.08905,8.835867,74.368881,-771.035522,21.674984,162.328934,-70.473747,145.743668,37.063511,442.011658,149.431763,145.651169,63.355164,148.828156,164.357788,-31.459078,184.393784,152.267014,-465.162048,418.513336,25.499695,-715.289917,400.729095,120.782341,-385.254089,485.574921,95.969353,-145.092636,647.123596,45.040829,-77.96463,777.028564,31.923481,-174.03656,876.914246,17.114655,-721.593811,-472.60376,129.11087,-310.528748,-289.022339,148.169647,-454.618866,-227.697372,109.693115,239.514542,-132.010712,161.641296,-111.315407,-69.20005,35.518456,462.215118,24.112619,124.38369,-566.611206,-9.364367,168.573639,-367.061798,26.363514,75.377815,325.92337,103.467361,166.060715,-201.149994,130.578125,115.819855,174.197632,287.644867,33.772064,418.13028,474.280792,73.271683,134.146408,832.301392,16.593925,158.650269,246.706665,128.815659,-531.963806,-130.838364,165.075836,-383.490448,587.022644,60.637264,30.723303,502.131348,64.450485,-526.902527,466.917267,89.302437,-455.735809,-367.610229,29.666111,-909.550049,-499.408051,109.072327,-487.109894,-2.103731,39.309708,-886.664978,-379.299164,36.847042,-853.792175,323.173828,149.054764,-367.774323,371.821625,128.622498,-120.588921,509.910522,27.416273,254.579956,35.916264,119.835518,162.572754,-736.745483,35.856823,-177.503906,272.730774,98.029793,-622.818481,858.07489,19.743361,-460.931763,250.052902,86.179504,246.304764,467.834961,23.354015,424.311035,666.899109,48.346523,-345.794739,719.723694,18.832199,273.493591,417.04715,19.217127,-808.249695,151.853241,68.660233,-766.60083,480.553619,91.797897,-286.077667,257.519806,170.76358,-286.387024
1,0.01,-692.436279,83.405739,-364.532532,-628.641846,34.047707,-765.541687,-555.722473,97.639206,49.544899,-530.991028,40.711086,369.909973,-444.962616,71.862976,223.911438,-394.623169,108.640381,-550.094849,-392.012665,125.899704,46.787144,-370.944611,136.668564,-159.337967,-185.905045,68.185265,-785.772705,-141.200119,133.280624,-521.139954,-155.093079,157.344543,-17.758905,-69.231064,114.085945,177.092758,8.828222,74.373985,-771.032593,21.669306,162.325592,-70.469681,145.738159,37.053219,442.014008,149.426239,145.64537,63.358814,148.822571,164.353104,-31.455248,184.387253,152.267273,-465.158386,418.505432,25.501326,-715.288147,400.722504,120.780167,-385.251282,485.568634,95.963737,-145.090286,647.117004,45.033325,-77.963188,777.021851,31.916239,-174.035522,876.906372,17.113276,-721.59314,-472.610107,129.11377,-310.524109,-289.0289,148.173004,-454.614349,-227.702774,109.687775,239.518433,-132.016495,161.639481,-111.311012,-69.205566,35.50938,462.217957,24.105721,124.386253,-566.607666,-9.370595,168.574036,-367.057556,26.358015,75.369713,325.926453,103.461449,166.058395,-201.146042,130.572617,115.812859,174.200928,287.639252,33.761089,418.132385,474.274872,73.262825,134.148514,832.295227,16.582355,158.651047,246.699844,128.816284,-531.960632,-130.84465,165.077271,-383.486023,587.016541,60.628876,30.725018,502.124084,64.449318,-526.900513,466.910339,89.300659,-455.73349,-367.618408,29.675425,-909.546753,-499.414978,109.077499,-487.105408,-2.111852,39.316261,-886.662231,-379.307251,36.85577,-853.788757,323.167511,149.052917,-367.770966,371.815613,128.617371,-120.585922,509.904633,27.405739,254.581451,35.910751,119.8293,162.576294,-736.752319,35.859917,-177.499847,272.723541,98.031334,-622.815674,858.067505,19.738987,-460.931061,250.047333,86.170837,246.307465,467.829315,23.341745,424.312683,666.891846,48.342083,-345.793274,719.717712,18.820017,273.494537,417.039062,19.219891,-808.248169,151.845566,68.664299,-766.598083,480.547028,91.794006,-286.075348,257.513733,170.761215,-286.383301
2,0.02,-692.435242,83.413124,-364.536407,-628.639648,34.058674,-765.545959,-555.722656,97.642494,49.541473,-530.992126,40.711376,369.906067,-444.963409,71.864449,223.908188,-394.62149,108.648895,-550.097595,-392.012726,125.902695,46.78455,-370.944031,136.673416,-159.340439,-185.902634,68.195557,-785.775208,-141.198441,133.288391,-521.141785,-155.09288,157.347687,-17.760546,-69.231522,114.087128,177.091003,8.830518,74.383766,-771.034424,21.669678,162.328888,-70.470749,145.736755,37.051537,442.012146,149.426163,145.647171,63.357948,148.822815,164.355789,-31.455904,184.388779,152.273911,-465.159058,418.507446,25.509819,-715.289307,400.723694,120.785637,-385.251587,485.569122,95.96682,-145.090546,647.11731,45.035469,-77.963455,777.022095,31.919033,-174.035538,876.908386,17.120905,-721.593079,-472.609222,129.120209,-310.526978,-289.027405,148.180435,-454.616455,-227.703461,109.688683,239.516205,-132.015976,161.643448,-111.312546,-69.207016,35.507919,462.215485,24.107494,124.394119,-566.609009,-9.369328,168.580109,-367.058624,26.357048,75.369339,325.924561,103.462219,166.062729,-201.14682,130.572174,115.813683,174.199707,287.637909,33.759354,418.130859,474.274445,73.263351,134.147995,832.294556,16.581953,158.651077,246.701523,128.82341,-531.961304,-130.843323,165.08374,-383.487518,587.016357,60.630135,30.724749,502.12561,64.455894,-526.901123,466.911743,89.306656,-455.733887,-367.615753,29.68721,-909.550293,-499.413361,109.08564,-487.108459,-2.109289,39.327141,-886.664612,-379.304779,36.867069,-853.792175,323.168701,149.058365,-367.77124,371.81604,128.620453,-120.586266,509.903717,27.405083,254.580582,35.910351,119.830414,162.57489,-736.751892,35.865662,-177.504333,272.725464,98.039238,-622.816589,858.068787,19.744263,-460.930939,250.046616,86.170753,246.306427,467.827972,23.3396,424.311646,666.893005,48.346672,-345.793488,719.716736,18.818781,273.494202,417.041351,19.229233,-808.249451,151.847824,68.673775,-766.59967,480.547974,91.798401,-286.075714,257.514771,170.766037,-286.383606
3,0.03,-692.435364,83.417427,-364.538239,-628.640686,34.06012,-765.547546,-555.72229,97.647949,49.539433,-530.991882,40.718441,369.904205,-444.963043,71.869911,223.906082,-394.621674,108.64949,-550.099915,-392.012177,125.906677,46.782093,-370.943542,136.676041,-159.342911,-185.903503,68.192947,-785.777405,-141.19841,133.286896,-521.144531,-155.092072,157.349182,-17.763361,-69.230927,114.088974,177.088364,8.829773,74.379494,-771.036865,21.670454,162.328506,-70.473778,145.736954,37.052982,442.009674,149.426941,145.646408,63.354893,148.823654,164.354507,-31.459078,184.389053,152.269806,-465.162231,418.506317,25.502228,-715.291992,400.723816,120.78009,-385.254761,485.569244,95.961891,-145.093704,647.116943,45.02948,-77.966515,777.02179,31.911329,-174.038635,876.907288,17.109186,-721.596008,-472.608978,129.122879,-310.529297,-289.027161,148.180634,-454.61911,-227.702774,109.692299,239.513733,-132.015259,161.644226,-111.315422,-69.206802,35.51141,462.213165,24.107405,124.390884,-566.611877,-9.368793,168.578323,-367.061737,26.35745,75.371185,325.921997,103.462891,166.060867,-201.149963,130.5728,115.813728,174.196884,287.638062,33.759396,418.128326,474.274689,73.260117,134.144943,832.294373,16.575657,158.648026,246.701523,128.81839,-531.964417,-130.84285,165.082932,-383.490448,587.016418,60.625301,30.721664,502.125092,64.448624,-526.904114,466.911438,89.300102,-455.737,-367.617065,29.685513,-909.552185,-499.413483,109.087524,-487.110626,-2.110466,39.322311,-886.666931,-379.305908,36.865784,-853.794128,323.169067,149.053619,-367.774536,371.816528,128.616653,-120.589485,509.903595,27.402214,254.57782,35.910999,119.831245,162.572067,-736.752258,35.871426,-177.505844,272.725067,98.033463,-622.819519,858.067932,19.734211,-460.934052,250.047028,86.170158,246.303543,467.827972,23.338087,424.30896,666.892395,48.338974,-345.796539,719.716736,18.814154,273.491272,417.040039,19.221119,-808.251892,151.847031,68.668251,-766.602234,480.547791,91.792709,-286.078796,257.515442,170.762329,-286.386932
4,0.04,-692.432007,83.413208,-364.544678,-628.635864,34.055672,-765.553772,-555.720215,97.645256,49.533321,-530.990295,40.7164,369.898376,-444.961304,71.868187,223.900391,-394.617981,108.646881,-550.105652,-392.010162,125.905022,46.776398,-370.94104,136.674194,-159.348541,-185.898849,68.191307,-785.782532,-141.194962,133.28595,-521.149536,-155.090103,157.348953,-17.768457,-69.229263,114.089592,177.083572,8.834317,74.379128,-771.041382,21.672495,162.329315,-70.478363,145.738358,37.055397,442.005646,149.428726,145.648254,63.350632,148.825592,164.356201,-31.46331,184.392258,152.271057,-465.166321,418.511078,25.504566,-715.295227,400.726959,120.782837,-385.25827,485.571869,95.965561,-145.096893,647.119751,45.034294,-77.969162,777.024902,31.916826,-174.040894,876.911987,17.114475,-721.598022,-472.606049,129.120148,-310.535187,-289.023926,148.178864,-454.624542,-227.701294,109.692001,239.50853,-132.013107,161.643982,-111.320442,-69.20546,35.512474,462.208496,24.111071,124.39093,-566.616394,-9.365976,168.578476,-367.066376,26.35894,75.37265,325.917603,103.465271,166.061996,-201.154343,130.574432,115.815628,174.192627,287.639557,33.762684,418.124725,474.276733,73.264153,134.141815,832.296692,16.582035,158.645859,246.705063,128.819931,-531.968323,-130.839981,165.082291,-383.495453,587.018799,60.629898,30.718834,502.129028,64.451813,-526.907227,466.915009,89.303177,-455.740204,-367.611877,29.682518,-909.557617,-499.409973,109.084335,-487.116638,-2.10537,39.321693,-886.671387,-379.300903,36.862801,-853.799622,323.172028,149.055893,-367.778229,371.818909,128.619644,-120.593033,509.90564,27.40667,254.574829,35.912659,119.83252,162.567627,-736.749084,35.867218,-177.512344,272.729065,98.035027,-622.823303,858.072021,19.739784,-460.936066,250.048691,86.172928,246.299698,467.829529,23.342527,424.305725,666.895935,48.343491,-345.799133,719.718689,18.819996,273.488831,417.045044,19.22331,-808.255249,151.851624,68.668816,-766.606384,480.550873,91.796127,-286.082001,257.518005,170.764328,-286.390869
5,0.05,-692.430603,83.415802,-364.544739,-628.634766,34.055336,-765.553467,-555.718628,97.650749,49.533157,-530.988708,40.724197,369.89859,-444.959595,71.874886,223.900345,-394.616608,108.647972,-550.105957,-392.008545,125.9104,46.775997,-370.939545,136.678085,-159.349091,-185.897629,68.190567,-785.782715,-141.193527,133.287109,-521.150085,-155.08847,157.353729,-17.769247,-69.227562,114.095734,177.083038,8.835599,74.378395,-771.041626,21.674118,162.333603,-70.479271,145.740158,37.063316,442.005615,149.430389,145.653442,63.349873,148.827225,164.360703,-31.464279,184.393707,152.2724,-465.167206,418.512299,25.503986,-715.295288,400.728455,120.784637,-385.258972,485.573425,95.969048,-145.097519,647.121277,45.038174,-77.969475,777.026306,31.919941,-174.041199,876.913269,17.113581,-721.598267,-472.604584,129.123001,-310.535645,-289.022491,148.180557,-454.625153,-227.6996,109.698677,239.508118,-132.011505,161.648071,-111.321266,-69.203674,35.52066,462.208588,24.112455,124.391663,-566.617004,-9.36447,168.580658,-367.067322,26.360699,75.379807,325.917328,103.466835,166.065308,-201.155289,130.576141,115.821632,174.192047,287.641327,33.770348,418.124573,474.278381,73.269669,134.141357,832.298279,16.587519,158.645691,246.706467,128.82077,-531.969055,-130.83847,165.084427,-383.496277,587.020325,60.634598,30.718401,502.130341,64.452545,-526.907593,466.916443,89.304436,-455.740784,-367.610626,29.68099,-909.557434,-499.4086,109.085945,-487.116913,-2.104163,39.320122,-886.671448,-379.299652,36.861683,-853.799438,323.173523,149.057861,-367.779205,371.820435,128.623383,-120.593842,509.907379,27.413017,254.574661,35.914356,119.838478,162.566986,-736.747742,35.871181,-177.512009,272.730408,98.035202,-622.823853,858.073303,19.740782,-460.93631,250.05043,86.179382,246.29924,467.831299,23.350126,424.305695,666.8974,48.345428,-345.7995,719.720276,18.826359,273.488708,417.046295,19.222059,-808.25531,151.852875,68.668022,-766.606689,480.552429,91.798607,-286.082581,257.519531,170.766922,-286.391907
6,0.06,-692.430176,83.406876,-364.544342,-628.634094,34.047432,-765.553101,-555.717957,97.643646,49.533455,-530.986816,40.717346,369.898834,-444.958435,71.869293,223.900467,-394.616791,108.643303,-550.105835,-392.008362,125.905602,46.776054,-370.939728,136.673645,-159.34903,-185.897568,68.188919,-785.782837,-141.194092,133.286011,-521.150208,-155.088821,157.35231,-17.769396,-69.227058,114.095467,177.082748,8.835569,74.379486,-771.041992,21.673672,162.334717,-70.47963,145.742065,37.066013,442.005127,149.430328,145.656296,63.349335,148.826797,164.363571,-31.464785,184.392944,152.275894,-465.167755,418.513062,25.510855,-715.296143,400.72821,120.791183,-385.259796,485.573822,95.976715,-145.09845,647.122498,45.048107,-77.970581,777.027527,31.931728,-174.042465,876.914124,17.126947,-721.59967,-472.604736,129.117172,-310.535431,-289.023224,148.177368,-454.625183,-227.698883,109.696152,239.507996,-132.011978,161.646988,-111.321457,-69.201706,35.520313,462.208374,24.111979,124.392914,-566.617432,-9.36535,168.581375,-367.067627,26.361935,75.380844,325.916962,103.466194,166.067596,-201.155746,130.576645,115.824181,174.191498,287.64328,33.775059,418.123871,474.279419,73.277084,134.140457,832.300232,16.600006,158.644379,246.705963,128.82518,-531.969666,-130.83931,165.083435,-383.49649,587.021484,60.64365,30.717358,502.130737,64.460548,-526.908508,466.916565,89.31192,-455.741669,-367.610168,29.676809,-909.557434,-499.408783,109.079781,-487.116669,-2.10382,39.321098,-886.671753,-379.299225,36.857327,-853.799316,323.172882,149.063309,-367.779907,371.820435,128.62941,-120.594612,509.909149,27.420923,254.5737,35.914776,119.839699,162.566635,-736.74646,35.861576,-177.511536,272.730225,98.039986,-622.824463,858.074402,19.753792,-460.937683,250.051376,86.183609,246.298584,467.833405,23.357384,424.304749,666.898193,48.355717,-345.800629,719.72229,18.837221,273.487518,417.047089,19.228943,-808.256165,151.852966,68.671135,-766.6073,480.552734,91.806236,-286.083527,257.518707,170.771393,-286.392578
7,0.07,-692.430603,83.416527,-364.543427,-628.63501,34.060196,-765.552612,-555.71814,97.648041,49.534409,-530.98761,40.718491,369.899231,-444.958984,71.870941,223.901245,-394.616974,108.651695,-550.104736,-392.008301,125.908386,46.777367,-370.939545,136.678131,-159.347656,-185.898071,68.197418,-785.782104,-141.193954,133.29158,-521.148926,-155.088425,157.353317,-17.767847,-69.227058,114.093765,177.083878,8.835114,74.385895,-771.04126,21.674112,162.334412,-70.47805,145.741257,37.059681,442.005432,149.430603,145.653473,63.350765,148.827255,164.361633,-31.463205,184.39325,152.277679,-465.16629,418.512115,25.512621,-715.295898,400.728271,120.790016,-385.258606,485.573578,95.972458,-145.097488,647.121704,45.041588,-77.970131,777.026672,31.924807,-174.04213,876.913147,17.124138,-721.599609,-472.604706,129.1241,-310.534149,-289.022949,148.183807,-454.623718,-227.699005,109.695473,239.50914,-132.011536,161.648636,-111.319878,-69.202522,35.515953,462.208771,24.112017,124.397247,-566.61615,-9.364865,168.584198,-367.06601,26.361509,75.376793,325.917755,103.46666,166.067703,-201.154144,130.57663,115.820503,174.192642,287.642456,33.767517,418.124298,474.278992,73.270325,134.141113,832.299255,16.589388,158.644562,246.706009,128.826935,-531.968445,-130.838898,165.087616,-383.494873,587.020874,60.636723,30.717955,502.130219,64.459694,-526.907898,466.916229,89.31076,-455.740814,-367.611145,29.688299,-909.556885,-499.408844,109.088638,-487.115601,-2.104647,39.32869,-886.671326,-379.30014,36.868412,-853.798889,323.173187,149.062759,-367.778442,371.820496,128.626083,-120.593361,509.908325,27.412676,254.574005,35.914799,119.837082,162.567764,-736.747375,35.869923,-177.511108,272.730011,98.042343,-622.823608,858.073547,19.748747,-460.9375,250.051086,86.178047,246.299469,467.832489,23.347973,424.304932,666.897522,48.351509,-345.800171,719.721375,18.826664,273.487701,417.04599,19.231588,-808.25592,151.852432,68.676056,-766.606445,480.55246,91.803352,-286.082581,257.519226,170.770767,-286.3909
8,0.08,-692.434937,83.410706,-364.538544,-628.639404,34.051918,-765.547485,-555.722168,97.644928,49.539177,-530.991577,40.717403,369.904297,-444.962799,71.869011,223.906067,-394.621246,108.644966,-550.100098,-392.01236,125.905396,46.781837,-370.943726,136.673874,-159.343277,-185.902557,68.189407,-785.777344,-141.198318,133.285263,-521.144653,-155.09256,157.350128,-17.763704,-69.23111,114.091873,177.088348,8.830651,74.378151,-771.036743,21.669931,162.331055,-70.473999,145.737411,37.059635,442.010132,149.426483,145.651062,63.354881,148.82309,164.358643,-31.459242,184.388885,152.272003,-465.162262,418.507751,25.505573,-715.291138,400.723938,120.785027,-385.254517,485.569489,95.96904,-145.093262,647.117676,45.038742,-77.96566,777.022705,31.921469,-174.037613,876.908691,17.117477,-721.59491,-472.608856,129.118805,-310.529694,-289.027283,148.17778,-454.619476,-227.702957,109.693832,239.513611,-132.015762,161.644882,-111.31575,-69.20636,35.515842,462.213593,24.107628,124.390793,-566.611877,-9.369209,168.578949,-367.061981,26.357584,75.375916,325.922211,103.462402,166.063614,-201.150146,130.572586,115.818771,174.19693,287.638611,33.767452,418.128998,474.274994,73.268646,134.145523,832.295166,16.588196,158.649094,246.701675,128.820892,-531.964233,-130.843201,165.082153,-383.490784,587.016907,60.634495,30.722395,502.125854,64.453911,-526.903503,466.911926,89.305389,-455.736511,-367.61557,29.67935,-909.552002,-499.413239,109.082214,-487.110931,-2.10911,39.320221,-886.666626,-379.304596,36.859798,-853.794006,323.168884,149.0578,-367.774475,371.816406,128.622711,-120.589279,509.904327,27.411781,254.578583,35.910751,119.835197,162.572113,-736.751343,35.865227,-177.50592,272.725616,98.035751,-622.819275,858.069214,19.743681,-460.932922,250.047089,86.176872,246.303879,467.828644,23.348108,424.309753,666.89325,48.347,-345.795685,719.717468,18.826082,273.49234,417.041595,19.223959,-808.25116,151.847992,68.668472,-766.601929,480.548218,91.799049,-286.078339,257.514893,170.766266,-286.387024
9,0.09,-692.434143,83.405693,-364.541901,-628.638,34.046822,-765.550781,-555.722351,97.639412,49.536167,-530.992432,40.711735,369.901245,-444.96344,71.863129,223.903305,-394.620056,108.63913,-550.102844,-392.01236,125.899406,46.779125,-370.943237,136.667877,-159.345901,-185.90094,68.183014,-785.779541,-141.197128,133.278671,-521.14679,-155.092438,157.343445,-17.76585,-69.231468,114.084892,177.086349,8.832232,74.37117,-771.038513,21.670229,162.323868,-70.475784,145.736252,37.051945,442.008606,149.426468,145.643463,63.353302,148.823318,164.351044,-31.460732,184.390045,152.26442,-465.163696,418.509064,25.497377,-715.292175,400.724823,120.776794,-385.255463,485.569702,95.960487,-145.09404,647.117615,45.02969,-77.96611,777.022766,31.912066,-174.037811,876.909973,17.107897,-721.59491,-472.608215,129.113144,-310.532501,-289.026215,148.171585,-454.621887,-227.703491,109.687302,239.511246,-132.01535,161.638153,-111.317848,-69.20755,35.508785,462.211487,24.108894,124.38372,-566.613647,-9.368226,168.571915,-367.063812,26.356794,75.368614,325.920471,103.463013,166.056198,-201.151764,130.572235,115.811188,174.195404,287.637482,33.759346,418.127716,474.274567,73.260063,134.14473,832.294495,16.578541,158.649063,246.702866,128.813141,-531.965637,-130.842194,165.075485,-383.492889,587.016663,60.625607,30.721798,502.126923,64.445404,-526.904297,466.912872,89.296967,-455.737366,-367.613861,29.673525,-909.554565,-499.412109,109.07666,-487.113892,-2.107397,39.313297,-886.668396,-379.302979,36.853989,-853.796631,323.169769,149.049805,-367.775604,371.816681,128.614517,-120.590309,509.903564,27.403057,254.57785,35.910446,119.827904,162.570358,-736.751282,35.860302,-177.509369,272.726959,98.027962,-622.820496,858.069885,19.734114,-460.932922,250.046494,86.16893,246.302551,467.827484,23.339466,424.30896,666.893921,48.337971,-345.796143,719.716553,18.816725,273.492004,417.043091,19.215778,-808.252136,151.849533,68.661057,-766.603394,480.548798,91.79055,-286.079132,257.515717,170.758423,-286.388306
