x,y,z
-5.815,-4.707,0.0
-5.63,-4.707,0.0
-5.446,-4.707,0.0
-5.261,-4.707,0.0
-5.077,-4.707,0.0
-4.892,-4.707,0.0
-4.707,-4.707,0.0
-4.523,-4.707,0.0
-4.338,-4.707,0.0
-4.154,-4.707,0.0
-3.969,-4.707,0.0
-3.784,-4.707,0.0
-3.6,-4.707,0.0
-3.415,-4.707,0.0
-3.231,-4.707,0.0
-3.046,-4.707,0.0
-2.861,-4.707,0.0
-2.677,-4.707,0.0
-2.492,-4.707,0.0
-2.308,-4.707,0.0
-2.123,-4.707,0.0
-1.938,-4.707,0.0
-1.754,-4.707,0.007
-1.569,-4.707,0.0
-1.385,-4.707,0.0
-1.2,-4.707,0.0
-1.015,-4.707,0.0
-0.831,-4.707,0.0
-0.646,-4.707,0.0
-0.462,-4.707,0.0
-0.277,-4.707,0.0
-0.092,-4.707,0.0
0.092,-4.707,0.0
0.277,-4.707,0.0
0.462,-4.707,0.0
0.646,-4.707,0.0
0.831,-4.707,0.0
1.015,-4.707,0.0
1.2,-4.707,0.0
1.385,-4.707,0.0
1.569,-4.707,0.0
1.754,-4.707,0.0
1.938,-4.707,0.0
2.123,-4.707,0.0
2.308,-4.707,0.0
2.492,-4.707,0.0
2.677,-4.707,0.0
2.861,-4.707,0.0
3.046,-4.707,0.0
3.231,-4.707,0.0
3.415,-4.707,0.0
3.6,-4.707,0.0
3.784,-4.707,0.0
3.969,-4.707,0.0
4.154,-4.707,0.0
4.338,-4.707,0.0
4.523,-4.707,0.0
4.707,-4.707,0.0
4.892,-4.707,0.0
5.077,-4.707,0.0
5.261,-4.707,0.0
5.446,-4.707,0.0
5.63,-4.707,0.0
5.815,-4.707,0.0
-5.815,-4.523,0.0
-5.63,-4.523,0.0
-5.446,-4.523,0.0
-5.261,-4.523,0.0
-5.077,-4.523,0.0
-4.892,-4.523,0.0
-4.707,-4.523,0.0
-4.523,-4.523,0.0
-4.338,-4.523,0.0
-4.154,-4.523,0.0
-3.969,-4.523,0.0
-3.784,-4.523,0.0
-3.6,-4.523,0.0
-3.415,-4.523,0.0
-3.231,-4.523,0.0
-3.046,-4.523,0.0
-2.861,-4.523,0.0
-2.677,-4.523,0.0
-2.492,-4.523,0.0
-2.308,-4.523,0.0
-2.123,-4.523,0.0
-1.938,-4.523,0.019
-1.754,-4.523,0.046
-1.569,-4.523,0.027
-1.385,-4.523,0.0
-1.2,-4.523,0.0
-1.015,-4.523,0.0
-0.831,-4.523,0.0
-0.646,-4.523,0.0
-0.462,-4.523,0.0
-0.277,-4.523,0.0
-0.092,-4.523,0.0
0.092,-4.523,0.0
0.277,-4.523,0.0
0.462,-4.523,0.0
0.646,-4.523,0.0
0.831,-4.523,0.0
1.015,-4.523,0.0
1.2,-4.523,0.0
1.385,-4.523,0.0
1.569,-4.523,0.0
1.754,-4.523,0.0
1.938,-4.523,0.0
2.123,-4.523,0.0
2.308,-4.523,0.0
2.492,-4.523,0.0
2.677,-4.523,0.0
2.861,-4.523,0.0
3.046,-4.523,0.0
3.231,-4.523,0.0
3.415,-4.523,0.005
3.6,-4.523,0.035
3.784,-4.523,0.031
3.969,-4.523,0.009
4.154,-4.523,0.0
4.338,-4.523,0.0
4.523,-4.523,0.0
4.707,-4.523,0.0
4.892,-4.523,0.0
5.077,-4.523,0.0
5.261,-4.523,0.0
5.446,-4.523,0.0
5.63,-4.523,0.0
5.815,-4.523,0.0
-5.815,-4.338,0.022
-5.63,-4.338,0.0
-5.446,-4.338,0.0
-5.261,-4.338,0.0
-5.077,-4.338,0.0
-4.892,-4.338,0.0
-4.707,-4.338,0.0
-4.523,-4.338,0.0
-4.338,-4.338,0.0
-4.154,-4.338,0.0
-3.969,-4.338,0.0
-3.784,-4.338,0.0
-3.6,-4.338,0.0
-3.415,-4.338,0.0
-3.231,-4.338,0.0
-3.046,-4.338,0.0
-2.861,-4.338,0.0
-2.677,-4.338,0.0
-2.492,-4.338,0.0
-2.308,-4.338,0.0
-2.123,-4.338,0.031
-1.938,-4.338,0.071
-1.754,-4.338,0.098
-1.569,-4.338,0.079
-1.385,-4.338,0.042
-1.2,-4.338,0.01
-1.015,-4.338,0.0
-0.831,-4.338,0.0
-0.646,-4.338,0.0
-0.462,-4.338,0.0
-0.277,-4.338,0.0
-0.092,-4.338,0.0
0.092,-4.338,0.0
0.277,-4.338,0.0
0.462,-4.338,0.0
0.646,-4.338,0.0
0.831,-4.338,0.0
1.015,-4.338,0.0
1.2,-4.338,0.0
1.385,-4.338,0.0
1.569,-4.338,0.0
1.754,-4.338,0.0
1.938,-4.338,0.0
2.123,-4.338,0.0
2.308,-4.338,0.0
2.492,-4.338,0.019
2.677,-4.338,0.006
2.861,-4.338,0.0
3.046,-4.338,0.001
3.231,-4.338,0.016
3.415,-4.338,0.057
3.6,-4.338,0.088
3.784,-4.338,0.083
3.969,-4.338,0.061
4.154,-4.338,0.012
4.338,-4.338,0.0
4.523,-4.338,0.0
4.707,-4.338,0.0
4.892,-4.338,0.0
5.077,-4.338,0.0
5.261,-4.338,0.0
5.446,-4.338,0.0
5.63,-4.338,0.0
5.815,-4.338,0.0
-5.815,-4.154,0.078
-5.63,-4.154,0.029
-5.446,-4.154,0.0
-5.261,-4.154,0.0
-5.077,-4.154,0.0
-4.892,-4.154,0.0
-4.707,-4.154,0.0
-4.523,-4.154,0.0
-4.338,-4.154,0.0
-4.154,-4.154,0.0
-3.969,-4.154,0.0
-3.784,-4.154,0.0
-3.6,-4.154,0.0
-3.415,-4.154,0.0
-3.231,-4.154,0.0
-3.046,-4.154,0.019
-2.861,-4.154,0.027
-2.677,-4.154,0.017
-2.492,-4.154,0.014
-2.308,-4.154,0.047
-2.123,-4.154,0.087
-1.938,-4.154,0.127
-1.754,-4.154,0.154
-1.569,-4.154,0.135
-1.385,-4.154,0.098
-1.2,-4.154,0.066
-1.015,-4.154,0.037
-0.831,-4.154,0.04
-0.646,-4.154,0.055
-0.462,-4.154,0.047
-0.277,-4.154,0.026
-0.092,-4.154,0.0
0.092,-4.154,0.0
0.277,-4.154,0.0
0.462,-4.154,0.0
0.646,-4.154,0.0
0.831,-4.154,0.0
1.015,-4.154,0.0
1.2,-4.154,0.0
1.385,-4.154,0.0
1.569,-4.154,0.0
1.754,-4.154,0.0
1.938,-4.154,0.0
2.123,-4.154,0.002
2.308,-4.154,0.049
2.492,-4.154,0.075
2.677,-4.154,0.062
2.861,-4.154,0.053
3.046,-4.154,0.057
3.231,-4.154,0.072
3.415,-4.154,0.113
3.6,-4.154,0.144
3.784,-4.154,0.139
3.969,-4.154,0.117
4.154,-4.154,0.068
4.338,-4.154,0.018
4.523,-4.154,0.002
4.707,-4.154,0.0
4.892,-4.154,0.003
5.077,-4.154,0.006
5.261,-4.154,0.0
5.446,-4.154,0.0
5.63,-4.154,0.0
5.815,-4.154,0.0
-5.815,-3.969,0.082
-5.63,-3.969,0.034
-5.446,-3.969,0.0
-5.261,-3.969,0.0
-5.077,-3.969,0.0
-4.892,-3.969,0.0
-4.707,-3.969,0.0
-4.523,-3.969,0.0
-4.338,-3.969,0.0
-4.154,-3.969,0.0
-3.969,-3.969,0.0
-3.784,-3.969,0.0
-3.6,-3.969,0.0
-3.415,-3.969,0.0
-3.231,-3.969,0.003
-3.046,-3.969,0.023
-2.861,-3.969,0.031
-2.677,-3.969,0.021
-2.492,-3.969,0.018
-2.308,-3.969,0.052
-2.123,-3.969,0.091
-1.938,-3.969,0.131
-1.754,-3.969,0.158
-1.569,-3.969,0.139
-1.385,-3.969,0.103
-1.2,-3.969,0.07
-1.015,-3.969,0.041
-0.831,-3.969,0.044
-0.646,-3.969,0.059
-0.462,-3.969,0.051
-0.277,-3.969,0.03
-0.092,-3.969,0.0
0.092,-3.969,0.0
0.277,-3.969,0.0
0.462,-3.969,0.0
0.646,-3.969,0.0
0.831,-3.969,0.0
1.015,-3.969,0.0
1.2,-3.969,0.0
1.385,-3.969,0.0
1.569,-3.969,0.0
1.754,-3.969,0.0
1.938,-3.969,0.0
2.123,-3.969,0.006
2.308,-3.969,0.053
2.492,-3.969,0.079
2.677,-3.969,0.067
2.861,-3.969,0.057
3.046,-3.969,0.061
3.231,-3.969,0.076
3.415,-3.969,0.117
3.6,-3.969,0.148
3.784,-3.969,0.143
3.969,-3.969,0.121
4.154,-3.969,0.072
4.338,-3.969,0.022
4.523,-3.969,0.007
4.707,-3.969,0.003
4.892,-3.969,0.008
5.077,-3.969,0.01
5.261,-3.969,0.0
5.446,-3.969,0.0
5.63,-3.969,0.0
5.815,-3.969,0.0
-5.815,-3.784,0.077
-5.63,-3.784,0.029
-5.446,-3.784,0.0
-5.261,-3.784,0.0
-5.077,-3.784,0.0
-4.892,-3.784,0.0
-4.707,-3.784,0.0
-4.523,-3.784,0.0
-4.338,-3.784,0.0
-4.154,-3.784,0.0
-3.969,-3.784,0.0
-3.784,-3.784,0.0
-3.6,-3.784,0.0
-3.415,-3.784,0.0
-3.231,-3.784,0.0
-3.046,-3.784,0.018
-2.861,-3.784,0.027
-2.677,-3.784,0.016
-2.492,-3.784,0.014
-2.308,-3.784,0.047
-2.123,-3.784,0.086
-1.938,-3.784,0.126
-1.754,-3.784,0.153
-1.569,-3.784,0.134
-1.385,-3.784,0.098
-1.2,-3.784,0.065
-1.015,-3.784,0.036
-0.831,-3.784,0.04
-0.646,-3.784,0.055
-0.462,-3.784,0.046
-0.277,-3.784,0.025
-0.092,-3.784,0.0
0.092,-3.784,0.0
0.277,-3.784,0.0
0.462,-3.784,0.0
0.646,-3.784,0.0
0.831,-3.784,0.0
1.015,-3.784,0.0
1.2,-3.784,0.0
1.385,-3.784,0.0
1.569,-3.784,0.0
1.754,-3.784,0.0
1.938,-3.784,0.0
2.123,-3.784,0.001
2.308,-3.784,0.048
2.492,-3.784,0.074
2.677,-3.784,0.062
2.861,-3.784,0.053
3.046,-3.784,0.057
3.231,-3.784,0.071
3.415,-3.784,0.113
3.6,-3.784,0.143
3.784,-3.784,0.139
3.969,-3.784,0.116
4.154,-3.784,0.067
4.338,-3.784,0.017
4.523,-3.784,0.002
4.707,-3.784,0.0
4.892,-3.784,0.003
5.077,-3.784,0.006
5.261,-3.784,0.0
5.446,-3.784,0.0
5.63,-3.784,0.0
5.815,-3.784,0.0
-5.815,-3.6,0.083
-5.63,-3.6,0.035
-5.446,-3.6,0.0
-5.261,-3.6,0.0
-5.077,-3.6,0.0
-4.892,-3.6,0.0
